SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,EVI,NBR,NDMI,NDWI,NDBI,NDBaI,elevation,classvalue,sample
11541.0,13036.0,13650.0,15138.0,14693.0,13745.0,0.35491103372608884,0.04822906207803899,0.014917367838825383,-0.07460779442038759,-0.014917367838825383,0.033335677614459526,939,1,train
11805.0,13111.0,13788.0,14739.0,14740.0,13786.0,0.26622249594087677,0.03340929009640666,-3.3922453271820615E-5,-0.05845601436265709,3.3922453271820615E-5,0.033443174647689825,939,1,train
11805.0,13111.0,13788.0,14739.0,14740.0,13786.0,0.26622249594087677,0.03340929009640666,-3.3922453271820615E-5,-0.05845601436265709,3.3922453271820615E-5,0.033443174647689825,940,1,train
11341.0,12734.0,13239.0,14606.0,14525.0,13507.0,0.3804196582623699,0.03909223490911678,0.002780543064089801,-0.06847110460863204,-0.002780543064089801,0.03631563926940639,940,1,train
11787.0,13236.0,13999.0,14937.0,14646.0,13982.0,0.22270763094164014,0.03302327189736851,0.009836730554710476,-0.06037695666063252,-0.009836730554710476,0.02319407573005449,939,1,train
11832.0,13218.0,13893.0,15137.0,14735.0,13900.0,0.31877818778187783,0.04260081964390261,0.013457418318157471,-0.06767765826132957,-0.013457418318157471,0.029160118735812816,939,1,train
11808.0,13346.0,14038.0,15270.0,14511.0,14274.0,0.28156138586708107,0.033712428919577576,0.025486048151505993,-0.06723511322337154,-0.025486048151505993,0.008233454924439812,938,1,train
12139.0,13629.0,14270.0,15270.0,15057.0,14286.0,0.25384576331421027,0.03329273244011368,0.00702344445543575,-0.05678397176372885,-0.00702344445543575,0.0262754319599223,938,1,train
11940.0,13594.0,13984.0,15200.0,15147.0,14100.0,0.31815803244374674,0.03754266211604096,0.0017464658780110061,-0.055775508786552755,-0.0017464658780110061,0.035798543440352854,938,1,train
11940.0,13594.0,13984.0,15200.0,15147.0,14100.0,0.31815803244374674,0.03754266211604096,0.0017464658780110061,-0.055775508786552755,-0.0017464658780110061,0.035798543440352854,937,1,train
11902.0,13486.0,14103.0,15004.0,14917.0,14274.0,0.21746476153697625,0.02493339708996516,0.0029076568296514155,-0.05328185328185328,-0.0029076568296514155,0.022027337192970436,938,1,train
12062.0,13486.0,14280.0,15290.0,15238.0,14337.0,0.2403388539881972,0.03216660478617477,0.0017033542976939203,-0.06269113149847094,-0.0017033542976939203,0.030464919695688927,938,1,train
